"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"17","min_sbt_temp_lag4",0.00174394462445714,0.951377745858736,6216.21775120767,9.00439863525025,0.0110845911737698,0.00196228928031625
"18","min_sbt_temp_lag5",-0.0128994655707488,0.667609339704896,6216.03241247707,8.81905990464929,0.0121608931862547,0.00215282548218174
"19","min_sbt_temp_lag6",-0.0119375533891934,0.691456897013048,6216.06065650775,8.847303935333,0.0119903638094112,0.0021226369111363
"20","min_sbt_temp_lag7",-0.0231912921381984,0.461992395701945,6215.63991395181,8.42656137938775,0.0147977418183633,0.00261962301431333
"21","min_sbt_temp_lag8",0.0218768502093482,0.448161833150794,6215.63966800268,8.42631543025618,0.0147995616761338,0.00261994518112479
"22","min_sbt_temp_lag9",0.0105754271558661,0.71307303799893,6216.08730353294,8.87395096052205,0.0118316695760487,0.00209454349856985
"23","min_sbt_temp_lag10",0.0194205690544536,0.500332974472813,6215.76567427912,8.55232170669751,0.0138959082407708,0.00245997270929111
"24","seas_sbt_temp_lag1",0.041569417202284,0.279908194173996,6215.1344044874,7.9210519149774,0.0190530905401567,0.00337294129641131
"25","seas_sbt_temp_lag2",0.0127507510822747,0.756306096975284,6216.12807975157,8.91472717914712,0.0115928866409578,0.00205227209798269
"26","seas_sbt_temp_lag3",0.0414024447782541,0.279220851290385,6215.12519858454,7.91184601212353,0.0191409931409463,0.00338850256777778
"27","seas_sbt_temp_lag4",-0.00246316978764243,0.952296501415151,6216.2180095177,9.00465694527884,0.0110831596356855,0.00196203585718199
"28","seas_sbt_temp_lag5",0.0170494703408751,0.675755051392239,6216.05303711469,8.83968454226488,0.0120361305802581,0.00213073893695031
"29","seas_sbt_temp_lag6",-0.0263468285825438,0.563948293835926,6215.88022175543,8.66686918300547,0.0131223999194713,0.00232303964037348
"30","seas_sbt_temp_lag7",0.00618996502985011,0.878170708049406,6216.19835456,8.98500198757574,0.0111926161122832,0.00198141278027476
"31","seas_sbt_temp_lag8",0.0176747848165397,0.650948559187784,6216.02360908972,8.81025651729396,0.0122145396940381,0.00216232244652617
"32","seas_sbt_temp_lag9",0.087322280857463,0.0167000776025469,6210.76649273313,3.55314016070861,0.169217555657003,0.0299563412219312
"33","seas_sbt_temp_lag10",0.0518936462081314,0.162740214756797,6214.38898045477,7.17562788234409,0.0276587279893716,0.00489638495366073
"34","max_sbt_temp_change",-0.0138852737245651,0.662794204346676,6216.03490817378,8.8215556013638,0.0121457276997511,0.00215014075785315
"35","min_sbt_temp_change",0.0202914444883109,0.681213476926523,6216.05484051865,8.84148794622524,0.0120252824690968,0.0021288185113875
"36","seas_sbt_temp_change",-0.0206538832431288,0.500517792938626,6215.77449334158,8.56114076915946,0.0138347686968308,0.00244914926350081
"37","max_sbt_temp_change_lag1",0.0265794487362298,0.430934944604359,6215.60887257815,8.39552000572985,0.0150292045185072,0.00266059852420496
"38","max_sbt_temp_change_lag2",-0.0434031161338919,0.196216939468413,6214.5785032763,7.3651507038785,0.0251581003712163,0.00445370243228994
"39","max_sbt_temp_change_lag3",0.0251855976974103,0.466960000210756,6215.69979738221,8.48644480978692,0.014361239471818,0.00254234962984377
"40","max_sbt_temp_change_lag4",0.00764212287227115,0.831580646775961,6216.17701254964,8.96365997721659,0.011312692103128,0.00200266966074643
"41","max_sbt_temp_change_lag5",0.0315260493901905,0.404414982260989,6215.53591893548,8.32256636306192,0.0155875434337723,0.00275944046172275
"42","max_sbt_temp_change_lag6",-0.00767257364987596,0.848217142612761,6216.1854950132,8.97214244078259,0.0112648139567565,0.00199419386115099
"43","max_sbt_temp_change_lag7",-0.0996255730845189,0.0146657394638191,6210.2854454646,3.07209289217644,0.215230346330709,0.0381019195730849
"44","max_sbt_temp_change_lag8",-0.0681738872334489,0.119171103996243,6213.83169967095,6.61834709852428,0.0365463650465726,0.00646975059712774
"45","max_sbt_temp_change_lag9",0.0277870997964642,0.51471845920008,6215.80446381297,8.59111124055107,0.0136289970460676,0.00241272180324038
"46","min_sbt_temp_change_lag1",0.0112033589171538,0.811053045102733,6216.16514359651,8.95179102409293,0.0113800266091737,0.00201458979179479
"47","min_sbt_temp_change_lag2",-0.0383613704302607,0.380985745378837,6215.47402014504,8.26066757261833,0.0160775114736491,0.00284617880121362
"48","min_sbt_temp_change_lag3",-0.0151795372940778,0.752617242013142,6216.12423490933,8.91088233690789,0.0116151944867404,0.00205622122393239
"49","min_sbt_temp_change_lag4",0.0419145434770727,0.398205288981368,6215.51333043161,8.2999778591884,0.0157645910043082,0.00279078293925054
"50","min_sbt_temp_change_lag5",-0.00301814024580557,0.951103530017353,6216.21777723649,9.0044246640673,0.0110844469153107,0.00196226374244809
"51","min_sbt_temp_change_lag6",0.0289472912500711,0.551193606110893,6215.86806007272,8.6547075003009,0.0132024382551246,0.00233720871216014
"52","min_sbt_temp_change_lag7",-0.115646319285119,0.0105893649398647,6210.02181625527,2.80846368284892,0.24555560967161,0.0434703574562459
"53","min_sbt_temp_change_lag8",0.0348394221631006,0.485679245436611,6215.73774516605,8.52439259362563,0.0140913196784826,0.00249456611589148
"54","min_sbt_temp_change_lag9",-0.026492804806365,0.587308991002927,6215.93448211837,8.72112954595195,0.0127711727990828,0.00226086240690677
"55","seas_sbt_temp_change_lag1",0.0188583345362506,0.555983879468998,6215.88078566965,8.6674330972246,0.0131187004870846,0.00232238473516301
"56","seas_sbt_temp_change_lag2",-0.0188890210165157,0.55191094830854,6215.87294428031,8.6595917078921,0.0131702358673415,0.00233150796962875
"57","seas_sbt_temp_change_lag3",0.0275578118986317,0.383053152426088,6215.47354134972,8.26018877730257,0.0160813608529882,0.00284686025131806
"58","seas_sbt_temp_change_lag4",-0.0117676625035514,0.714695191934294,6216.09006753625,8.87671496382882,0.011815329482751,0.00209165083528486
"59","seas_sbt_temp_change_lag5",0.0283246987869602,0.416555865456761,6215.57080578414,8.35745321171817,0.015318001005407,0.00271172375214998
"60","seas_sbt_temp_change_lag6",-0.0213474406935018,0.543991401279364,6215.85930569328,8.6459531208593,0.0132603544948571,0.00234746154102877
"61","seas_sbt_temp_change_lag7",-0.00882710160191028,0.79740227880168,6216.15665887835,8.94330630593231,0.0114284073200059,0.00202315455965602
"62","seas_sbt_temp_change_lag8",-0.0680823096256897,0.0662042638507686,6212.88831611608,5.67496354366085,0.0585729805303543,0.0103690907503084
"63","seas_sbt_temp_change_lag9",0.0346921109813376,0.33857099443996,6215.3247494102,8.11139683777492,0.0173233769837265,0.00306673258590581
"64","max_sbt_temp_change_abs",0.0967832224200349,0.074313205885264,6213.13246572294,5.91911315051766,0.0518419000578742,0.00917749722655723
"65","min_sbt_temp_change_abs",-0.153657304963793,0.0661635320314325,6212.67693064625,5.46357807383083,0.0651027142612603,0.0115250401491277
"66","seas_sbt_temp_change_abs",0.116021729549631,0.0129746571160461,6210.18446578481,2.9711132123839,0.226376303151045,0.0400750723258152
"67","max_sbt_temp_change_abs_lag1",0.0643799990243138,0.259771424239673,6214.9883482415,7.77499566908136,0.0204965677324508,0.00362847799383345
"68","max_sbt_temp_change_abs_lag2",0.0723518140633393,0.205959275284493,6214.67074634156,7.4573937691348,0.0240241216514466,0.00425295580564155
"69","max_sbt_temp_change_abs_lag3",0.11650880567213,0.0430164025875649,6212.26382725377,5.05047468134853,0.080039313947471,0.0141692449726654
"70","max_sbt_temp_change_abs_lag4",-0.013061026968304,0.834708976936155,6216.178571562,8.96521898958053,0.0113038772257709,0.00200110917564834
"71","max_sbt_temp_change_abs_lag5",-0.0728554848264575,0.282809321743371,6215.06736996206,7.85401738963537,0.0197025207451432,0.00348790899432463
"72","max_sbt_temp_change_abs_lag6",0.0285694775731821,0.701477972335272,6216.07746752317,8.86411495074481,0.0118900011046648,0.00210486984543402
"73","max_sbt_temp_change_abs_lag7",0.0935014151028616,0.229901122295638,6214.80530660693,7.59195403450576,0.0224609503570356,0.00397622983296162
"74","max_sbt_temp_change_abs_lag8",-0.0214603598176139,0.812938952721224,6216.16669015302,8.95333758060133,0.0113712300835839,0.00201303255548375
"75","max_sbt_temp_change_abs_lag9",0.177291882434984,0.0276359096341917,6211.48813808011,4.27478550768501,0.117961998400002,0.0208826434206037
"76","min_sbt_temp_change_abs_lag1",0.0196796835877542,0.791016439114391,6216.15286603486,8.9395134624383,0.0114501009638285,0.00202699495431351
"77","min_sbt_temp_change_abs_lag2",-0.0692715430414225,0.341150805944096,6215.30571906668,8.09236649426111,0.0174889986006094,0.0030960523432431
"78","min_sbt_temp_change_abs_lag3",0.0247392553829077,0.737430031596955,6216.11191563256,8.89856306014372,0.011686960684522,0.00206892589101377
"79","min_sbt_temp_change_abs_lag4",-0.0770263861467515,0.343887612382242,6215.31549422996,8.10214165754314,0.0174037282447902,0.00308095705442913
"80","min_sbt_temp_change_abs_lag5",-0.0707368253931292,0.367833649883164,6215.40652038626,8.19316781383532,0.0166293860127705,0.00294387635949254
"81","min_sbt_temp_change_abs_lag6",0.0698837706485638,0.30656816636985,6215.22328137293,8.00992880051035,0.0182249380502729,0.00322633464868832
"82","min_sbt_temp_change_abs_lag7",0.0779363872622217,0.238658559247603,6214.89809668052,7.6847441080954,0.0214426777816194,0.00379596649912685
"83","min_sbt_temp_change_abs_lag8",0.0315340711124922,0.66698162563345,6216.04166401957,8.82831144715146,0.0121047695837163,0.00214289000130498
"84","min_sbt_temp_change_abs_lag9",0.0136651033160278,0.853682426473788,6216.18816738108,8.97481480865827,0.0112497721448365,0.00199153103075657
"85","seas_sbt_temp_change_abs_lag1",0.0194318374440168,0.700746273592838,6216.07661657149,8.86326399906466,0.0118950610892476,0.00210576560724875
"86","seas_sbt_temp_change_abs_lag2",0.0596274222543702,0.227216565626273,6214.79805592855,7.5847033561331,0.0225425267021404,0.00399067117635598
"87","seas_sbt_temp_change_abs_lag3",0.0951336917752367,0.0589006815623835,6212.73220889486,5.51885632244284,0.0633279713973175,0.0112108599648847
"88","seas_sbt_temp_change_abs_lag4",-0.00615759532557353,0.902532502290003,6216.2067484713,8.99339589887859,0.0111457396368892,0.00197311430505609
"89","seas_sbt_temp_change_abs_lag5",-0.0731315158962196,0.190566573152557,6214.51761535655,7.30426278412415,0.0259357904879382,0.00459137579845453
"90","seas_sbt_temp_change_abs_lag6",0.068513837909699,0.208073173282241,6214.68133304364,7.46798047121501,0.0238972895217564,0.00423050289559829
"91","seas_sbt_temp_change_abs_lag7",0.042549688617186,0.434191048749819,6215.62216366139,8.40881108896428,0.0149296584495339,0.00264297602636253
"92","seas_sbt_temp_change_abs_lag8",0.0456798876262888,0.440681815228465,6215.63798067058,8.42462809816334,0.0148120528322631,0.00262215647258219
"93","seas_sbt_temp_change_abs_lag9",0.167831019536474,0.00237991575166209,6207.21335257242,0,1,0.177028566011505
"94","max_sst_temp",-0.0371531180957279,0.42900962101422,6215.23519152815,8.02183895572489,0.0181167296443057,0.00320717866974956
"95","min_sst_temp",-0.0214151159477144,0.420329471335428,6215.54137848789,8.32802591546533,0.0155450509525324,0.0027519180787026
"96","seas_sst_temp",-0.000739296933358456,0.984708017902757,6216.22118564779,9.00783307537131,0.0110655728254616,0.00195892248938734
"97","max_sst_temp_lag1",-0.0360666852296795,0.436923175169088,6215.27913691478,8.06578434235689,0.0177229978152981,0.00313747688866726
"98","max_sst_temp_lag2",0.00666985486122932,0.784628509817859,6216.14995630619,8.93660373377224,0.011466771431024,0.00202994610321587
"99","max_sst_temp_lag3",0.000783682806539238,0.975107535916214,6216.22050695494,9.007154382517,0.0110693285252699,0.00195958735553878
"100","max_sst_temp_lag4",0.00277124491178838,0.909151236309687,6216.20875406044,8.99540148801862,0.0111345683518907,0.00197113666849229
"101","max_sst_temp_lag5",-0.0151933536534015,0.597983714283224,6215.90923418919,8.69588161676438,0.0129334175637365,0.00228958436493628
"102","max_sst_temp_lag6",-0.00341492647919516,0.888704996935214,6216.201949832,8.98859725958118,0.0111725139362062,0.00197785412087013
"103","max_sst_temp_lag7",-0.010872388024795,0.678734043888495,6216.03948529163,8.82613271920764,0.0121179632686469,0.00214522566042865
"104","max_sst_temp_lag8",0.0122283341329235,0.584365630977738,6215.93494160624,8.72158903381569,0.0127682390366493,0.00226034304715015
"105","max_sst_temp_lag9",0.0144070017694764,0.518030400940396,6215.82264690542,8.6092943329968,0.0135056499469942,0.00239088584316973
"106","max_sst_temp_lag10",0.0197321508224953,0.364425266911111,6215.42852376755,8.21517119512919,0.0164474373588209,0.00291166625019612
"107","min_sst_temp_lag1",-0.0226476485491422,0.389608603641492,6215.44267891287,8.22932634045173,0.0163314403984896,0.00289113147464698
"108","min_sst_temp_lag2",-0.0323573615287045,0.255984030447631,6214.77109278255,7.55774021013349,0.0228484932424238,0.00404483599422984
"109","min_sst_temp_lag3",0.0130393063450575,0.613359491178905,6215.96236507646,8.74901250403582,0.0125943591469302,0.00222956133961493
"110","min_sst_temp_lag4",0.00525662345137497,0.837172237001981,6216.17932076119,8.96596818877333,0.0112996435909329,0.00200035970134394
"111","min_sst_temp_lag5",-0.0121314670554225,0.635682176275962,6215.99439472315,8.7810421507329,0.0123942691891484,0.00219413970131551
"112","min_sst_temp_lag6",-0.00718531801093675,0.776709462242465,6216.14114541597,8.92779284354492,0.0115173991000212,0.00203890864685895
"113","min_sst_temp_lag7",-0.0195128473908522,0.466660776245367,6215.66840207745,8.45504950502436,0.0145884559335259,0.00258257343423411
"114","min_sst_temp_lag8",0.0148079911746673,0.570828839538488,6215.89264195427,8.67928938184559,0.0130411610232364,0.00230865803506866
"115","min_sst_temp_lag9",0.0102756933842277,0.691567522378944,6216.06291490678,8.84956233435423,0.0119768319379946,0.00212024138334399
"116","min_sst_temp_lag10",0.0218534906366231,0.422208971416991,6215.54100204204,8.32764946961561,0.0155479771628711,0.00275243610152271
"117","seas_sst_temp_lag1",0.00421618427713922,0.908826310099982,6216.208542152,8.99518957957571,0.0111357481689138,0.00197134552980806
"118","seas_sst_temp_lag2",0.0615010207498306,0.0404504194603007,6212.50866515017,5.29531257774943,0.0708169932890918,0.0125366307712143
"119","seas_sst_temp_lag3",-0.023895777490096,0.501747825219119,6215.77575632334,8.56240375091966,0.0138260349245095,0.00244760313631091
"120","seas_sst_temp_lag4",-0.00447654120744207,0.900195703982864,6216.20613574535,8.99278317292828,0.011149154801958,0.00197371888683091
"121","seas_sst_temp_lag5",-0.00359612893248849,0.918348878496649,6216.21126710606,8.99791453364196,0.0111205862989823,0.00196866144571602
"122","seas_sst_temp_lag6",0.00582258491705895,0.857610657780478,6216.18985201078,8.97649943836132,0.011240300284387,0.00198985424088374
"123","seas_sst_temp_lag7",0.0111347616222903,0.717479914906281,6216.09274617848,8.87939360605651,0.0117995155548353,0.00208885131830295
"124","seas_sst_temp_lag8",0.000456935650602999,0.988456403655929,6216.22127801144,9.00792543901844,0.0110650618089296,0.00195883202486348
"125","seas_sst_temp_lag9",0.013136184542245,0.693213730323504,6216.06946401887,8.85611144644645,0.011937677272619,0.00211330988907988
"126","seas_sst_temp_lag10",0.00735795289434386,0.814699510600951,6216.16722692986,8.95387435743578,0.0113681785866514,0.0020124923533576
"127","max_sst_temp_change",-0.00195410214541078,0.969176563467828,6216.21998940719,9.00663683476978,0.0110721933489454,0.00196009451116593
"128","min_sst_temp_change",0.00420077105857559,0.913519805648967,6216.20986620965,8.99651363722751,0.0111283784223895,0.00197004087414899
"129","seas_sst_temp_change",-0.00363759963030202,0.909161663389432,6216.20868165694,8.99532908451602,0.0111349714500614,0.00197120802838341
"130","max_sst_temp_change_lag1",-0.0980193803960393,0.0382911694896624,6212.02893236892,4.8155797965037,0.0900140150271165,0.0159350520011885
"131","max_sst_temp_change_lag2",0.0192890044115646,0.66930960836637,6216.04278608019,8.82943350777077,0.0120979803457507,0.00214168811224361
"132","max_sst_temp_change_lag3",-0.00761815853369522,0.872802426208754,6216.19629478908,8.98294221665674,0.0112041491627121,0.00198345445965392
"133","max_sst_temp_change_lag4",0.0539280512827255,0.225888812194609,6214.79633465606,7.58298208363431,0.0225619359687345,0.00399410717098846
"134","max_sst_temp_change_lag5",-0.0296782914886259,0.488919003112706,6215.74971941075,8.53636683832428,0.0140072052763735,0.00247967546390519
"135","max_sst_temp_change_lag6",0.0224997277301095,0.605834236983202,6215.96136823028,8.74801565785674,0.0126006380309674,0.00223067288145219
"136","max_sst_temp_change_lag7",-0.0783753006489311,0.0759115982637301,6213.08718048144,5.8738279090212,0.0530291267792816,0.00938767027057852
"137","max_sst_temp_change_lag8",-0.00796650602326707,0.855055811634841,6216.1886850241,8.97533245167961,0.0112468608385858,0.0019910156463858
"138","max_sst_temp_change_lag9",-0.0240849114292817,0.585546416836484,6215.92971406851,8.71636149609185,0.0128016559152385,0.00226625878924737
"139","min_sst_temp_change_lag1",0.0165501839861477,0.65822655087364,6216.02858231328,8.81522974085783,0.012184204607147,0.00215695226959401
"140","min_sst_temp_change_lag2",-0.0946865227705581,0.01058250194222,6209.8599592063,2.64660663388077,0.266254325271206,0.0471346213971225
