class,order,family,genus,genus,lvl_dvp,hbt,lat,lat_n,lat_s,length_avg,width_avg,length_max,width_max,fecundity,weight_avg,weight_max
malacostraca,decapoda,thoridae,lebbeus,polaris ,lecithotrophic,benthic,43,80,37.07500076,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,lithodidae,lithodes,maja,lecithotrophic,benthic,36.099,71.86516667,35.76666641,NA,NA,120,NA,8500,NA,2
malacostraca,decapoda,ovalipidae,ovalipes,stephensoni,NA,benthic,17.47,41.75,24.28365,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,thoridae,lebbeus,groenlandicus ,lecithotrophic,benthic,28.1,69.06700134,40.96699905,40,NA,107,NA,NA,NA,NA
malacostraca,decapoda,menippidae,menippe,mercenaria,planktotrophic,benthic,25.61,35,9.39965833,NA,NA,NA,NA,6000000,NA,NA
polychaeta,phyllodocida,polynoidae,eunoe,nodosa,planktotrophic,benthic,31.208,72.4252,41.217,NA,NA,90,30,NA,NA,NA
asteroidea,forcipulatida,asteriidae,lethasterias,nanimensis,lecithotrophic,benthic,22.7,"	68.7500","	46.0500",NA,NA,NA,NA,NA,NA,NA
bivalvia,venerida,mactridae,mactromeris,polynyma,NA,benthic,16.64,60.307,43.6667,NA,NA,140,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,neptunea,heros ,direct,benthic,5.156,71.6757,66.52,NA,NA,NA,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,neptunea,ventricosa,direct,benthic,8.282,71.5318,63.25,NA,NA,111,NA,NA,NA,NA
ophiuroidea,ophiurida,ophiuridae,ophiura,sarsii,NA,benthic,40.5,75,34.5,NA,NA,35,NA,NA,NA,NA
malacostraca,decapoda,pandalidae,pandalus,eous,planktotrophic,benthic,15.671,53.5639,37.8935,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,pandalidae,pandalus,goniurus,planktotrophic,benthic,23.48,71.74145,48.25999832,NA,NA,80,NA,1800,NA,NA
malacostraca,decapoda,lithodidae,paralithodes,camtschaticus,planktotrophic,benthic,35.55,71.25066667,35.70000076,NA,NA,220,NA,228950,NA,10
malacostraca,decapoda,cheiragonidae,telmessus,cheiragonus,NA,benthic,25.97,67.77,41.8,NA,NA,100,NA,NA,NA,NA
gastropoda,nudibranchia,tritoniidae,tritonia,tetraquetra,planktotrophic,benthic,17.83,52.54,34.705,NA,NA,215,NA,NA,NA,NA
