#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,1,1,13,30,291,11.6,14.9,99,99,99,999,1007.5,6.1,10.4,0.5,99,99
2020,1,1,13,40,294,12.6,15.5,2.26,6.67,5.55,302,1007.6,6.4,10.3,0.4,99,99
2020,1,1,13,50,288,12.5,16,99,99,99,999,1007.9,6.3,10.3,0,99,99
2020,1,1,14,0,283,11.7,14.9,99,99,99,999,1008,6.3,10.3,0,99,99
2020,1,1,14,10,287,12.2,16,99,99,99,999,1007.9,6.2,10.3,0,99,99
2020,1,1,14,20,288,12.4,15.2,99,99,99,999,1008.2,6,10.3,-0.3,99,99
2020,1,1,14,30,290,11.3,14.7,99,99,99,999,1008.3,6,10.3,0.1,99,99
2020,1,1,14,40,289,11.9,14.7,2.7,7.14,5.86,308,1008.4,5.9,10.3,-0.5,99,99
2020,1,1,14,50,286,12,15.2,99,99,99,999,1008.5,5.9,10.3,-0.5,99,99
2020,1,1,15,0,286,12.5,16,99,99,99,999,1008.6,5.9,10.3,-0.6,99,99
2020,1,1,15,10,288,11.9,15.6,99,99,99,999,1008.6,5.8,10.3,-0.5,99,99
2020,1,1,15,20,281,11.8,15.7,99,99,99,999,1008.6,5.9,10.3,-0.5,99,99
2020,1,1,15,30,286,12.4,15.8,99,99,99,999,1008.5,5.8,10.3,-0.7,99,99
2020,1,1,15,40,284,12.1,15.5,2.68,7.14,5.76,308,1008.6,5.8,10.3,-0.4,99,99
2020,1,1,15,50,285,12.6,17.4,99,99,99,999,1008.5,5.7,10.3,-0.5,99,99
2020,1,1,16,0,287,12.9,16.5,99,99,99,999,1008.4,5.6,10.3,-0.5,99,99
2020,1,1,16,10,286,12.6,16.5,99,99,99,999,1008.4,5.5,10.3,-0.8,99,99
2020,1,1,16,20,287,13.1,16.7,99,99,99,999,1008.1,5.5,10.3,-0.7,99,99
2020,1,1,16,30,292,13.6,17.1,99,99,99,999,1008.2,5.5,10.3,-0.6,99,99
2020,1,1,16,40,285,12.8,16.5,2.81,7.14,5.76,306,1008,5.6,10.3,-0.6,99,99
