variable,coef,p_value,conditional_R2,marginal_R2,AICc
min_sst_temp_lag7_scaled,-0.336971943610577,0.047998692123244,0.165659250630972,0.00893263893973382,6423.2854234982
min_sst_temp_lag8_scaled,-0.144422939550782,0.374921290783514,0.15755771252045,0.00164991400528207,6426.46804762155
min_sst_temp_lag9_scaled,-0.457809477548994,0.00993164779105915,0.175947836874772,0.0161342244680299,6420.60254511251
min_sst_temp_lag10_scaled,-0.198694618155107,0.225731123620534,0.158706483175315,0.00309690601279726,6425.789648802
seas_sst_temp_lag1_scaled,-0.275367641334814,0.00763351390551848,0.175858408072536,0.00580303700474108,6421.22718853409
seas_sst_temp_lag2_scaled,-0.367495827681274,0.000363538026924838,0.186683471071156,0.0104552359218456,6416.32785797387
seas_sst_temp_lag3_scaled,-0.280241046727862,0.00210161472935898,0.17621297454717,0.00609794115565059,6418.92351071278
seas_sst_temp_lag4_scaled,-0.306593136797677,0.000459399877518831,0.178714276397316,0.00720020177952551,6416.26853294997
seas_sst_temp_lag5_scaled,-0.349815417542279,5.34926107677218e-05,0.183400403052792,0.00931990697097138,6412.45881925028
seas_sst_temp_lag6_scaled,-0.275018202585861,0.001190345192011,0.174858219583838,0.0057582333394974,6417.73163396384
seas_sst_temp_lag7_scaled,-0.1327255426417,0.0846934636357088,0.16344208983685,0.00134992568022003,6424.62151516228
seas_sst_temp_lag8_scaled,-0.254272407540206,0.000808376006324632,0.172434188084797,0.0049943683230919,6416.85308600938
seas_sst_temp_lag9_scaled,-0.105328855772008,0.154477340056484,0.161799282898393,0.000864701977605097,6425.46989010779
seas_sst_temp_lag10_scaled,-0.265931841681031,0.000304191137910179,0.172897751393691,0.00517354713488852,6415.02839933436
max_sst_temp_change_scaled,-0.0217004414316985,0.561475903536236,0.158443491623524,3.63552852305287e-05,6426.90334767356
min_sst_temp_change_scaled,0.0643101571757039,0.0746042781494807,0.158605203929707,0.000333880726432499,6424.0202416456
seas_sst_temp_change_scaled,-0.0630748488967121,0.0802900291386193,0.15886139002567,0.000316137775293494,6424.13377643562
max_sst_temp_change_lag1_scaled,-0.0229461668414861,0.573359519509691,0.158270815229348,3.35310899772981e-05,6426.92419133399
max_sst_temp_change_lag2_scaled,0.0355995643625395,0.297009129780429,0.158220893317869,0.000103648242981551,6426.13873574391
