variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sst_temp_change_lag3_scaled,-0.0434960058106297,0.25399506344517,0.137359191883817,0.000112655876550551,5303.55983723692
max_sst_temp_change_lag4_scaled,0.0818585242786878,0.0329724561252623,0.13750663460764,0.000365537136768076,5300.33141806331
max_sst_temp_change_lag5_scaled,-0.022528888239536,0.542318050615117,0.137170150410568,3.18232376032884e-05,5304.51803678353
max_sst_temp_change_lag6_scaled,0.0374980758356318,0.328402279846568,0.137087042966223,7.87944768218115e-05,5303.92636920462
max_sst_temp_change_lag7_scaled,-0.00176827200454829,0.962488791902864,0.137068024752853,1.86378984024487e-07,5304.89441518269
max_sst_temp_change_lag8_scaled,-0.00691159555613254,0.851268629716303,0.137071967033096,2.97571661398954e-06,5304.86086194146
max_sst_temp_change_lag9_scaled,-0.0617695226656715,0.159229142413257,0.137325857582145,0.000172428275302183,5302.85915104714
min_sst_temp_change_lag1_scaled,-0.0256041913287068,0.505573147222419,0.137119018352995,3.95765309850294e-05,5304.4433506124
min_sst_temp_change_lag2_scaled,-0.100536770057922,0.0111632770888004,0.137839358500989,0.000603659211225454,5298.27566077066
min_sst_temp_change_lag3_scaled,0.092842796553002,0.0176455648870844,0.137828059923985,0.000507456879330207,5299.17687966946
min_sst_temp_change_lag4_scaled,0.0439300809174,0.276125372801529,0.137237461256346,0.000108912008412105,5303.69198018851
min_sst_temp_change_lag5_scaled,-0.0119161367976824,0.757701721990494,0.137091378731,8.72258232073457e-06,5304.79951712333
min_sst_temp_change_lag6_scaled,0.0446950671467052,0.268357923361009,0.137436842193085,0.000119800893680119,5303.65604755004
min_sst_temp_change_lag7_scaled,-0.0208928135999989,0.595368702744618,0.137042328431034,2.62493114283009e-05,5304.60705477895
min_sst_temp_change_lag8_scaled,0.00893389529196978,0.816029133547469,0.137075043089687,4.94886295313389e-06,5304.84150419382
min_sst_temp_change_lag9_scaled,-0.011553540247065,0.765017522727436,0.13707694454579,8.26746747205716e-06,5304.80516090051
seas_sst_temp_change_lag1_scaled,0.0160146792444503,0.705589886248241,0.137072814868303,1.31985288384841e-05,5304.75074583247
seas_sst_temp_change_lag2_scaled,0.0980971291049953,0.00974675447057821,0.137595666711031,0.000590161911100752,5298.10557264496
seas_sst_temp_change_lag3_scaled,-0.092005994283419,0.0154779910980746,0.138012990864422,0.00051362828055026,5298.90024205809
seas_sst_temp_change_lag4_scaled,0.0283646134756223,0.483333272916029,0.137105130222876,4.43864080713735e-05,5304.39641234991
seas_sst_temp_change_lag5_scaled,-0.00716574149195309,0.850833621941598,0.137074807544828,3.18611954763134e-06,5304.86085620098
seas_sst_temp_change_lag6_scaled,-0.00335855494489388,0.9302117877664,0.137081065937725,6.98255101411641e-07,5304.88916445326
seas_sst_temp_change_lag7_scaled,0.0131483254992815,0.732962677350314,0.137032977850369,1.02078704629187e-05,5304.77685007351
seas_sst_temp_change_lag8_scaled,-0.0111065745769683,0.767261066961229,0.137082875790957,7.74289536142304e-06,5304.80751918642
seas_sst_temp_change_lag9_scaled,-0.0301188145755911,0.457798836477158,0.137142837294536,4.92637589301969e-05,5304.33498739516
max_sst_temp_change_abs_scaled,-0.0358042431898959,0.43090738052141,0.137106826555612,6.32810388764371e-05,5304.2562682771
min_sst_temp_change_abs_scaled,-0.028289616686645,0.498139685935088,0.13686468392504,4.90843841994e-05,5304.42757061241
seas_sst_temp_change_abs_scaled,-0.0465184738009409,0.230937640208235,0.136773135926894,0.000133732940553322,5303.40655331004
max_sst_temp_change_abs_lag1_scaled,0.128557310784641,0.0118263311063358,0.138459573856453,0.000629992445736301,5298.56787100312
max_sst_temp_change_abs_lag2_scaled,0.0561957431702245,0.105769403895911,0.13248535423217,0.000194797037994859,5302.44274666063
max_sst_temp_change_abs_lag3_scaled,-0.0734115918172775,0.0660933274850569,0.137369008685064,0.000322860008220758,5301.26975426621
max_sst_temp_change_abs_lag4_scaled,-0.0238015964752631,0.541655570493155,0.137070088161484,3.17982383760738e-05,5304.50730997384
max_sst_temp_change_abs_lag5_scaled,0.0443902413079471,0.210458161714771,0.137304094298829,0.000123708728154181,5303.34770750823
max_sst_temp_change_abs_lag6_scaled,0.0486938675708186,0.190869788592627,0.138174105676066,0.000135794378211408,5303.4403613342
max_sst_temp_change_abs_lag7_scaled,-0.0640578369103309,0.112249505491294,0.137433385145278,0.000248827381393013,5302.21615449362
