"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"22","min_sst_temp_lag9_scaled",-0.457809477548994,0.00993164779105915,6420.60254511251,13.9822832442951,0.000919995644522055,0.000662143253243337
"23","min_sst_temp_lag10_scaled",-0.198694618155107,0.225731123620534,6425.789648802,19.1693869337832,6.87734033561537e-05,4.94978919802573e-05
"24","seas_sst_temp_lag1_scaled",-0.275367641334814,0.00763351390551848,6421.22718853409,14.6069266658669,0.000673203206266809,0.000484520729794242
"25","seas_sst_temp_lag2_scaled",-0.367495827681274,0.000363538026924838,6416.32785797387,9.70759610565256,0.00779870134931101,0.00561291514068924
"26","seas_sst_temp_lag3_scaled",-0.280241046727862,0.00210161472935899,6418.92351071278,12.3032488445651,0.00213001890804757,0.00153302644163836
"27","seas_sst_temp_lag4_scaled",-0.306593136797677,0.000459399877518831,6416.26853294997,9.64827108175632,0.00803349549804975,0.00578190220319771
"28","seas_sst_temp_lag5_scaled",-0.349815417542279,5.34926107677218e-05,6412.45881925028,5.83855738205784,0.0539726041867114,0.0388453966439917
"29","seas_sst_temp_lag6_scaled",-0.275018202585861,0.001190345192011,6417.73163396384,11.1113720956237,0.00386541569974468,0.00278203374310154
"30","seas_sst_temp_lag7_scaled",-0.1327255426417,0.0846934636357088,6424.62151516228,18.00125329406,0.000123332493925097,8.87653971455514e-05
"31","seas_sst_temp_lag8_scaled",-0.254272407540206,0.000808376006324632,6416.85308600938,10.2328241411615,0.00599750295478718,0.00431654882440491
"32","seas_sst_temp_lag9_scaled",-0.105328855772008,0.154477340056484,6425.46989010779,18.8496282395708,8.06965996079097e-05,5.80793064708638e-05
"33","seas_sst_temp_lag10_scaled",-0.265931841681031,0.000304191137910179,6415.02839933436,8.40813746614185,0.0149346877757849,0.0107488582243985
"34","max_sst_temp_change_scaled",-0.0217004414316985,0.561475903536236,6426.90334767356,20.2830858053403,3.9407953258827e-05,2.83628629437882e-05
"35","min_sst_temp_change_scaled",0.0643101571757039,0.0746042781494807,6424.0202416456,17.3999797773822,0.000166587495396741,0.000119897074305131
