temp_variable,sign,trait_variable,AICc,converge
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.319794,TRUE
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3368.330716,TRUE
min_sst_temp_change_lag8_scaled,+,age.maturity_ocean_scaled + tl_ocean_scaled,3368.357376,TRUE
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3368.402753,TRUE
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.466787,TRUE
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.493604,TRUE
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.549526,TRUE
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3368.563582,TRUE
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3368.564935,TRUE
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3368.565957,TRUE
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.570369,TRUE
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3368.577282,TRUE
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3368.577715,TRUE
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.588364,TRUE
min_sst_temp_change_lag8_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3368.665508,TRUE
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.675867,TRUE
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3368.716981,TRUE
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.733145,TRUE
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.764018,TRUE
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.775886,TRUE
max_sst_temp_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3368.782096,TRUE
min_sst_temp_change_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3368.797148,TRUE
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3368.842839,TRUE
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.861471,TRUE
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3368.877169,TRUE
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3368.939326,TRUE
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3369.001663,TRUE
min_sst_temp_change_lag8_scaled,*,tl_ocean_scaled + age.maturity_ocean_scaled,3369.002403,TRUE
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.034611,TRUE
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled,3369.037477,TRUE
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.038981,TRUE
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3369.085545,TRUE
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.136933,TRUE
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.139378,TRUE
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3369.195176,TRUE
min_sst_temp_change_lag8_scaled,+,tl_ocean_scaled,3369.195439,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3369.195909,TRUE
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.217139,TRUE
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3369.217943,TRUE
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.308997,TRUE
min_sst_temp_change_lag8_scaled,+,0,3369.318932,TRUE
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.329144,TRUE
min_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.331332,TRUE
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled,3369.369349,TRUE
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3369.372284,TRUE
min_sbt_temp_change_abs_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3369.376613,TRUE
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.403298,TRUE
max_sst_temp_change_abs_lag1_scaled,*,tl_ocean_scaled + length.max_ocean_scaled,3369.469353,TRUE
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.482108,TRUE
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.502565,TRUE
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled,3369.520952,TRUE
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3369.574415,TRUE
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3369.585457,TRUE
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3369.649316,TRUE
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3369.694362,TRUE
min_sst_temp_change_lag8_scaled,*,age.maturity_ocean_scaled,3369.698763,TRUE
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled,3369.713772,TRUE
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.715697,TRUE
seas_sst_temp_change_abs_scaled,+,age.max_ocean_scaled,3369.722822,TRUE
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.758839,TRUE
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.758868,TRUE
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.777642,TRUE
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3369.777693,TRUE
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3369.797154,TRUE
max_sst_temp_change_abs_scaled,+,age.max_ocean_scaled,3369.809146,TRUE
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3369.813723,TRUE
