temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3697.620485,TRUE,5.624536
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3697.650691,TRUE,5.654742
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.655454,TRUE,5.659505
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3697.670888,TRUE,5.674939
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.676246,TRUE,5.680297
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.68728,TRUE,5.691331
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.716955,TRUE,5.721006
max_sst_temp_change_abs_lag1_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3697.750414,TRUE,5.754465
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3697.757228,TRUE,5.761279
max_sst_temp_change_abs_lag1_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3697.788438,TRUE,5.792489
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.790581,TRUE,5.794632
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3697.854345,TRUE,5.858396
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3697.861612,TRUE,5.865663
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3697.897019,TRUE,5.90107
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled,3697.976743,TRUE,5.980794
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3698.033867,TRUE,6.037918
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.073315,TRUE,6.077366
min_sbt_temp_change_abs_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3698.112243,TRUE,6.116294
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3698.122701,TRUE,6.126752
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.140351,TRUE,6.144402
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3698.190071,TRUE,6.194122
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.272408,TRUE,6.276459
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3698.287967,TRUE,6.292018
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.322438,TRUE,6.326489
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3698.361659,TRUE,6.36571
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3698.385176,TRUE,6.389227
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3698.447292,TRUE,6.451343
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3698.579303,TRUE,6.583354
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3698.717113,TRUE,6.721164
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3698.728229,TRUE,6.73228
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.799387,TRUE,6.803438
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3698.807097,TRUE,6.811148
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3698.822623,TRUE,6.826674
min_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3698.851317,TRUE,6.855368
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3698.85253,TRUE,6.856581
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3698.861874,TRUE,6.865925
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3698.895741,TRUE,6.899792
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3698.903121,TRUE,6.907172
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3698.953391,TRUE,6.957442
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3698.981384,TRUE,6.985435
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled,3698.98298,TRUE,6.987031
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.00813,TRUE,7.012181
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.024884,TRUE,7.028935
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.097751,TRUE,7.101802
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3699.142931,TRUE,7.146982
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.178982,TRUE,7.183033
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.334059,TRUE,7.33811
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3699.365532,TRUE,7.369583
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.367926,TRUE,7.371977
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.3892,TRUE,7.393251
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.40065,TRUE,7.404701
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.401778,TRUE,7.405829
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.45445,TRUE,7.458501
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.479022,TRUE,7.483073
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.480904,TRUE,7.484955
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3699.544521,TRUE,7.548572
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.587385,TRUE,7.591436
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.600354,TRUE,7.604405
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.722608,TRUE,7.726659
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.760697,TRUE,7.764748
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3699.771738,TRUE,7.775789
min_sbt_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.82124,TRUE,7.825291
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.83462,TRUE,7.838671
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.85631,TRUE,7.860361
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled,3699.885633,TRUE,7.889684
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3699.88823,TRUE,7.892281
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3699.896963,TRUE,7.901014
min_sst_temp_lag9_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3699.911903,TRUE,7.915954
min_sst_temp_change_lag8_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3699.932989,TRUE,7.93704
max_sst_temp_lag4_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.958743,TRUE,7.962794
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3699.963961,TRUE,7.968012
max_sst_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3699.970507,TRUE,7.974558
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3699.982421,TRUE,7.986472
min_sst_temp_change_lag8_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3699.982421,TRUE,7.986472
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled,3700.049641,TRUE,8.053692
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3700.086902,TRUE,8.090953
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.123137,TRUE,8.127188
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3700.176048,TRUE,8.180099
min_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3700.189604,TRUE,8.193655
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.239689,TRUE,8.24374
min_sbt_temp_scaled,*,age.max_ocean_scaled,3700.243107,TRUE,8.247158
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.274377,TRUE,8.278428
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.28894,TRUE,8.292991
min_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3700.28973,TRUE,8.293781
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3700.317872,TRUE,8.321923
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.338286,TRUE,8.342337
max_sbt_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3700.392026,TRUE,8.396077
min_sbt_temp_lag9_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3700.411825,TRUE,8.415876
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.429338,TRUE,8.433389
min_sbt_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3700.447154,TRUE,8.451205
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.467982,TRUE,8.472033
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3700.49016,TRUE,8.494211
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3700.513824,TRUE,8.517875
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.723008,TRUE,8.727059
min_sst_temp_scaled,*,age.max_ocean_scaled,3700.751524,TRUE,8.755575
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.755394,TRUE,8.759445
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.758228,TRUE,8.762279
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3700.836744,TRUE,8.840795
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3700.864169,TRUE,8.86822
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3700.864767,TRUE,8.868818
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3700.892434,TRUE,8.896485
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3700.910014,TRUE,8.914065
min_sst_temp_lag9_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3701.052788,TRUE,9.056839
seas_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3701.089229,TRUE,9.09328
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.092793,TRUE,9.096844
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3701.127115,TRUE,9.131166
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.141737,TRUE,9.145788
seas_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3701.200086,TRUE,9.204137
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.20522,TRUE,9.209271
min_sbt_temp_lag3_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3701.243708,TRUE,9.247759
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.319407,TRUE,9.323458
min_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.367582,TRUE,9.371633
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.463923,TRUE,9.467974
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3701.464081,TRUE,9.468132
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3701.478907,TRUE,9.482958
min_sst_temp_change_lag8_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3701.51336,TRUE,9.517411
max_sbt_temp_lag4_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3701.543301,TRUE,9.547352
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.545541,TRUE,9.549592
max_sbt_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3701.548463,TRUE,9.552514
seas_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3701.55827,TRUE,9.562321
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.60685,TRUE,9.610901
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3701.673082,TRUE,9.677133
min_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3701.806214,TRUE,9.810265
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3701.839673,TRUE,9.843724
min_sst_temp_change_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3701.843944,TRUE,9.847995
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3701.860907,TRUE,9.864958
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.863753,TRUE,9.867804
min_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3701.886655,TRUE,9.890706
min_sst_temp_change_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.891567,TRUE,9.895618
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled,3701.896027,TRUE,9.900078
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3701.999627,TRUE,10.003678
min_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.010882,TRUE,10.014933
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3702.035003,TRUE,10.039054
seas_sst_temp_change_abs_lag6_scaled,*,age.max_ocean_scaled,3702.036488,TRUE,10.040539
seas_sst_temp_change_abs_scaled,+,age.max_ocean_scaled,3702.037123,TRUE,10.041174
min_sst_temp_lag9_scaled,+,age.max_ocean_scaled,3702.051399,TRUE,10.05545
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3702.051414,TRUE,10.055465
max_sbt_temp_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.088508,TRUE,10.092559
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3702.117501,TRUE,10.121552
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.135088,TRUE,10.139139
seas_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3702.138997,TRUE,10.143048
seas_sbt_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3702.195634,TRUE,10.199685
min_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3702.212075,TRUE,10.216126
