temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.161156,TRUE,9.606955739
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled,3410.174588,TRUE,9.620387794
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.222017,TRUE,9.667816987
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.268722,TRUE,9.7145213
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.30699,TRUE,9.752789231
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled,3410.347064,TRUE,9.792863696
min_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3410.395958,TRUE,9.841757313
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3410.402595,TRUE,9.84839448
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.429469,TRUE,9.875268203
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3410.444225,TRUE,9.890024176
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.450592,TRUE,9.896391665
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled,3410.454423,TRUE,9.900222719
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3410.462457,TRUE,9.908256847
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3410.521696,TRUE,9.967495716
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.54217,TRUE,9.987969693
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.57623,TRUE,10.0220297
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.587783,TRUE,10.03358259
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled,3410.596267,TRUE,10.04206635
max_sst_temp_lag8_scaled,*,age.maturity_ocean_scaled,3410.598383,TRUE,10.04418272
seas_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3410.615479,TRUE,10.06127882
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.633837,TRUE,10.07963625
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled,3410.637531,TRUE,10.08333089
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.656423,TRUE,10.10222268
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3410.69629,TRUE,10.14208951
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.72166,TRUE,10.16745917
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.727467,TRUE,10.17326623
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.730907,TRUE,10.1767066
max_sst_temp_lag10_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3410.742281,TRUE,10.18808019
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3410.746177,TRUE,10.19197688
max_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.779358,TRUE,10.2251572
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.785405,TRUE,10.23120475
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3410.788579,TRUE,10.23437894
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.805711,TRUE,10.25151093
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.806559,TRUE,10.25235865
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.819096,TRUE,10.26489526
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.834852,TRUE,10.28065186
min_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.883658,TRUE,10.3294575
min_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3410.890198,TRUE,10.33599723
max_sst_temp_lag4_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3410.902638,TRUE,10.34843793
max_sst_temp_lag8_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3410.926,TRUE,10.3717999
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3410.964776,TRUE,10.41057542
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.012939,TRUE,10.45873826
min_sst_temp_scaled,*,age.max_ocean_scaled,3411.05948,TRUE,10.50527942
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.087227,TRUE,10.5330264
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3411.119767,TRUE,10.56556642
max_sst_temp_lag2_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3411.191517,TRUE,10.6373165
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3411.207942,TRUE,10.65374132
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.212017,TRUE,10.65781669
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3411.234593,TRUE,10.6803925
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.249095,TRUE,10.69489469
max_sst_temp_lag4_scaled,*,length.max_ocean_scaled,3411.254517,TRUE,10.70031606
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3411.256939,TRUE,10.70273859
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.278538,TRUE,10.72433798
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3411.280501,TRUE,10.72630014
min_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3411.297663,TRUE,10.74346269
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3411.298782,TRUE,10.74458189
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.299756,TRUE,10.74555531
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3411.306438,TRUE,10.75223739
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3411.313623,TRUE,10.75942207
