temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.428466,TRUE,6.871123632
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.429105,TRUE,6.87176278
max_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.438628,TRUE,6.881286043
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.440677,TRUE,6.88333543
seas_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.50705,TRUE,6.949707755
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.522653,TRUE,6.965310605
max_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.532823,TRUE,6.97548105
max_sbt_temp_lag1_scaled,*,age.max_ocean_scaled,3654.537972,TRUE,6.980630485
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.566281,TRUE,7.008939434
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.604687,TRUE,7.04734508
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.61383,TRUE,7.056488451
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3654.629872,TRUE,7.07253034
min_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3654.642306,TRUE,7.084964186
max_sst_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.691364,TRUE,7.134022155
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.694427,TRUE,7.137085126
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.707721,TRUE,7.150379095
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.734532,TRUE,7.177189935
max_sst_temp_lag2_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.811409,TRUE,7.254067055
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.823786,TRUE,7.26644427
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.840539,TRUE,7.283196844
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3654.853155,TRUE,7.295812612
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3654.885305,TRUE,7.327963366
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3654.93867,TRUE,7.381328041
seas_sbt_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3655.067539,TRUE,7.51019679
seas_sst_temp_lag5_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3655.084016,TRUE,7.526674193
seas_sbt_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3655.086349,TRUE,7.529007253
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3655.174056,TRUE,7.616713869
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3655.18201,TRUE,7.624668395
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3655.217592,TRUE,7.660250202
