variable,coef,p_value,conditional_R2,marginal_R2,AICc,deltaAICc,rel_likelihood,akaike_weight
seas_sst_temp_lag5_scaled,-0.349247379913047,0.000273996201593422,0.172837922573774,0.00503000879483406,5601.99503514671,6.42663980403813,0.0402228554244745,0.0304654661068072
seas_sst_temp_lag6_scaled,-0.217412130987704,0.0186651576129768,0.161798040509949,0.00199213737902187,5609.52225775546,13.9538624127854,0.000933162496774769,0.000706792944399888
seas_sst_temp_lag7_scaled,-0.0239528131027326,0.779266646469743,0.156706705067087,2.42833428859365e-05,5614.48588339581,18.91748805314,7.8004501096831e-05,5.90819189554084e-05
seas_sst_temp_lag8_scaled,-0.242093327251752,0.00347230883902886,0.168624921121534,0.00244762294394155,5606.39920492361,10.830809580938,0.00444753712768617,0.00336863930201842
seas_sst_temp_lag9_scaled,-0.0415731584223732,0.60602804631015,0.158334334222687,7.45335493666924e-05,5614.27945833501,18.7110629923354,8.64856982222272e-05,6.55057200715193e-05
seas_sst_temp_lag10_scaled,-0.190422815903465,0.0173030914000705,0.163709278360666,0.0015026451092661,5609.10746117158,13.5390658289116,0.00114823084769716,0.000869689324742052
max_sst_temp_change_scaled,-0.025344846907658,0.530631775750286,0.157010651584625,4.04299433026979e-05,5614.15949274773,18.5910974050539,9.1832095016243e-05,6.95551707781572e-05
min_sst_temp_change_scaled,0.0697017372144548,0.0660827204184003,0.152680531965445,0.000353656569697173,5611.11313506188,15.544739719212,0.000421213865331283,0.000319034454479809
seas_sst_temp_change_scaled,-0.0677716503103732,0.0722713627409067,0.157203243554368,0.000330787464316415,5611.2491526552,15.6807573125298,0.00039352000362523,0.000298058658597874
max_sst_temp_change_lag1_scaled,-0.0331905878539872,0.446480080044024,0.154858008014817,6.05345992205868e-05,5613.93756036603,18.3691650233568,0.00010260924606674,7.77179659500057e-05
max_sst_temp_change_lag2_scaled,0.00783478974525399,0.826843278138722,0.155788974414466,4.55683300746155e-06,5614.53443855429,18.9660432116143,7.61335436933263e-05,5.76648244015227e-05
max_sst_temp_change_lag3_scaled,0.0486913367435407,0.174103835737175,0.15436285849197,0.000171618921063269,5612.63511879999,17.0667234573202,0.000196792294385066,0.000149053788235557
max_sst_temp_change_lag4_scaled,0.00741767290149004,0.844897300411047,0.154409570852818,3.64918568460503e-06,5614.56426662324,18.9958712805719,7.50065105932195e-05,5.68111906067509e-05
max_sst_temp_change_lag5_scaled,-0.00861028188382683,0.80849427511277,0.154064331730795,5.65150846073145e-06,5614.53246938977,18.9640740470941,7.6208540343974e-05,5.77216281240412e-05
max_sst_temp_change_lag6_scaled,-0.0437773447554308,0.24567150589292,0.156091654445264,0.000130243950791361,5613.12818377211,17.5597884294393,0.000153794353517071,0.00011648642581555
max_sst_temp_change_lag7_scaled,0.0622510017586102,0.0817556126037088,0.15712778187229,0.000279788133509559,5611.43870816471,15.8703128220368,0.000357935981199888,0.000271106722498293
max_sst_temp_change_lag8_scaled,-0.0165068637834424,0.643220980237061,0.155355234120191,2.06023241218758e-05,5614.33914910402,18.7707537613505,8.39426373844885e-05,6.35795630908159e-05
max_sst_temp_change_lag9_scaled,0.039178932145658,0.343897158265122,0.155841407486939,8.41773160725962e-05,5613.63113306474,18.0627377220708,0.000119598667114745,9.05860387322608e-05
min_sst_temp_change_lag1_scaled,-0.0223598081072561,0.551044006916598,0.15532476868978,3.66389677685878e-05,5614.37353350287,18.805138160199,8.25118135689805e-05,6.24958331070503e-05
min_sst_temp_change_lag2_scaled,0.0194695934305504,0.610527080191539,0.157490184022788,2.74343795712248e-05,5614.26495022332,18.6965548806529,8.71153513148528e-05,6.59826298967914e-05
min_sst_temp_change_lag3_scaled,-0.02722004122949,0.479112314588228,0.155224358618087,5.30005528451898e-05,5614.04557841756,18.4771830748914,9.72144167089098e-05,7.36318316062718e-05
min_sst_temp_change_lag4_scaled,-0.00799864206784438,0.840096249993766,0.156709074856109,4.37646097251445e-06,5614.50698720254,18.9385918598709,7.7185732519614e-05,5.84617698865448e-05
min_sst_temp_change_lag5_scaled,0.0398579081458353,0.291299441357203,0.15083426393947,0.000119092222702334,5613.65980526168,18.0914099190077,0.000117896320506545,8.92966528259932e-05
min_sst_temp_change_lag6_scaled,0.0618060752702399,0.116749836286434,0.155734642356266,0.000278063441908706,5612.09350236848,16.52510702581,0.000257999344716344,0.000195413035924138
min_sst_temp_change_lag7_scaled,-0.0773033908855253,0.0462268601557979,0.154914047862281,0.00043640042058638,5610.42936941197,14.8609740692973,0.000592898679377376,0.000449071415510481
min_sst_temp_change_lag8_scaled,0.105472581230708,0.00487224569503459,0.156530335058911,0.000836087875148319,5606.47341594655,10.9050206038783,0.0042855331942668,0.00324593480253244
min_sst_temp_change_lag9_scaled,-0.0716885161074694,0.0591626058694177,0.155008035916508,0.000386522381346896,5610.85692908357,15.2885337408998,0.000478781190151564,0.000362636912949346
seas_sst_temp_change_lag1_scaled,0.00102375461120046,0.980077041451482,0.154359344127169,6.55458361888264e-08,5614.52122451482,18.9528291721435,7.66382249024968e-05,5.80470784237812e-05
seas_sst_temp_change_lag2_scaled,-0.00794343742062655,0.830277176156657,0.15550215260612,4.69911184716708e-06,5614.4581943191,18.8897989764273,7.90919476325746e-05,5.99055692216076e-05
seas_sst_temp_change_lag3_scaled,0.0517044630895704,0.158006288044062,0.154718534342617,0.000197254082233673,5612.48330067891,16.9149053362362,0.000212312212088602,0.000160808834509319
seas_sst_temp_change_lag4_scaled,0.0109852126647934,0.780079245652626,0.157422259450714,8.06153829036321e-06,5614.50392612602,18.9355307833448,7.73039586883565e-05,5.85513163719634e-05
seas_sst_temp_change_lag5_scaled,-0.034752514043236,0.349801586535741,0.153830114509098,9.112746567121e-05,5613.61745434616,18.0490590034906,0.000120419448981339,9.12077127003053e-05
