variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
seas_sst_temp_lag1_scaled,-0.269943125056277,0.0214248019446916,5609.9865956811,14.4182003384312,0.000739822571161669,0.000560442193271845
seas_sst_temp_lag2_scaled,-0.288938047870269,0.0160046603364828,5609.51261535737,13.9442200146932,0.000937672321560032,0.000710320491628487
seas_sst_temp_lag3_scaled,-0.177149673665591,0.0788927853215962,5611.73461896827,16.1662236255988,0.000308708894903984,0.000233858085555366
seas_sst_temp_lag4_scaled,-0.314380453100159,0.000986642417665601,5604.57298306104,9.00458771837202,0.0110835432687545,0.00839618246441251
seas_sst_temp_lag5_scaled,-0.349247379913047,0.000273996201593422,5601.99503514671,6.42663980403813,0.0402228554244745,0.0304702589410762
seas_sst_temp_lag6_scaled,-0.217412130987704,0.0186651576129768,5609.52225775546,13.9538624127854,0.000933162496774769,0.000706904137231573
seas_sst_temp_lag7_scaled,-0.0239528131027326,0.779266646469743,5614.48588339581,18.91748805314,7.8004501096831e-05,5.90912137367472e-05
seas_sst_temp_lag8_scaled,-0.242093327251752,0.00347230883902886,5606.39920492361,10.830809580938,0.00444753712768617,0.00336916925714302
seas_sst_temp_lag9_scaled,-0.0415731584223732,0.60602804631015,5614.27945833501,18.7110629923354,8.64856982222272e-05,6.55160254467555e-05
seas_sst_temp_lag10_scaled,-0.190422815903465,0.0173030914000705,5609.10746117158,13.5390658289116,0.00114823084769716,0.000869826144470475
max_sst_temp_change_scaled,-0.025344846907658,0.530631775750286,5614.15949274773,18.5910974050539,9.1832095016243e-05,6.95661132139277e-05
min_sst_temp_change_scaled,0.0697017372144548,0.0660827204184003,5611.11313506188,15.544739719212,0.000421213865331283,0.000319084645054969
seas_sst_temp_change_scaled,-0.0677716503103732,0.0722713627409067,5611.2491526552,15.6807573125298,0.00039352000362523,0.00029810554925591
max_sst_temp_change_lag1_scaled,-0.0331905878539872,0.446480080044024,5613.93756036603,18.3691650233568,0.00010260924606674,7.7730192558626e-05
max_sst_temp_change_lag2_scaled,0.00783478974525399,0.826843278138722,5614.53443855429,18.9660432116143,7.61335436933263e-05,5.76738962452142e-05
max_sst_temp_change_lag3_scaled,0.0486913367435407,0.174103835737175,5612.63511879999,17.0667234573202,0.000196792294385066,0.00014907723741246
max_sst_temp_change_lag4_scaled,0.00741767290149004,0.844897300411047,5614.56426662324,18.9958712805719,7.50065105932195e-05,5.68201281565736e-05
max_sst_temp_change_lag5_scaled,-0.00861028188382683,0.80849427511277,5614.53246938977,18.9640740470941,7.6208540343974e-05,5.77307089041075e-05
max_sst_temp_change_lag6_scaled,-0.0437773447554308,0.24567150589292,5613.12818377211,17.5597884294393,0.000153794353517071,0.000116504751487364
max_sst_temp_change_lag7_scaled,0.0622510017586102,0.0817556126037088,5611.43870816471,15.8703128220368,0.000357935981199888,0.000271149373071423
max_sst_temp_change_lag8_scaled,-0.0165068637834424,0.643220980237061,5614.33914910402,18.7707537613505,8.39426373844885e-05,6.35895654425844e-05
max_sst_temp_change_lag9_scaled,0.039178932145658,0.343897158265122,5613.63113306474,18.0627377220708,0.000119598667114745,9.06002897491075e-05
min_sst_temp_change_lag1_scaled,-0.0223598081072561,0.551044006916598,5614.37353350287,18.805138160199,8.25118135689805e-05,6.25056649661637e-05
min_sst_temp_change_lag2_scaled,0.0194695934305504,0.610527080191539,5614.26495022332,18.6965548806529,8.71153513148528e-05,6.59930102995931e-05
min_sst_temp_change_lag3_scaled,-0.02722004122949,0.479112314588228,5614.04557841756,18.4771830748914,9.72144167089098e-05,7.36434153832794e-05
min_sst_temp_change_lag4_scaled,-0.00799864206784438,0.840096249993766,5614.50698720254,18.9385918598709,7.7185732519614e-05,5.84709671058867e-05
min_sst_temp_change_lag5_scaled,0.0398579081458353,0.291299441357203,5613.65980526168,18.0914099190077,0.000117896320506545,8.93107009963468e-05
min_sst_temp_change_lag6_scaled,0.0618060752702399,0.116749836286434,5612.09350236848,16.52510702581,0.000257999344716344,0.000195443778348754
min_sst_temp_change_lag7_scaled,-0.0773033908855253,0.0462268601557979,5610.42936941197,14.8609740692973,0.000592898679377376,0.000449142063530831
min_sst_temp_change_lag8_scaled,0.105472581230708,0.00487224569503459,5606.47341594655,10.9050206038783,0.0042855331942668,0.00324644545375642
min_sst_temp_change_lag9_scaled,-0.0716885161074694,0.0591626058694177,5610.85692908357,15.2885337408998,0.000478781190151564,0.000362693963073493
seas_sst_temp_change_lag1_scaled,0.00102375461120046,0.980077041451482,5614.52122451482,18.9528291721435,7.66382249024968e-05,5.80562104037651e-05
